id;name;description;start_date;end_date
1;Universal Cambridgeshire;visualize SDD;2023-05-20;2023-05-20
2;bypassing XML quantifying;Malta Enhanced Landing;2023-05-20;2023-05-21
3;input ability;Croatia;2023-05-20;2023-05-20
4;Strategist invoice;Granite Guilder;2023-05-21;2023-05-21
5;Fuerte Rustic;Producer Rustic back-end;2023-05-21;2023-05-20
6;XML Producer back-end;Minnesota function Representative;2023-05-21;2023-05-21
7;withdrawal;content-based;2023-05-21;2023-05-21
8;visionary Account orchid;Sausages Fiji Jewelery;2023-05-20;2023-05-20
9;Optional;Spain;2023-05-21;2023-05-21
10;back-end Cambridgeshire;back-end Cambridgeshire;2023-05-21;2023-05-20
